Src_PLAYER_ID,ActivityMonth,Product,BONUS_COST
12621216,8/31/2019,eGaming,40
19326976,3/31/2021,eGaming,39
13027984,5/31/2019,eGaming,10
16022715,6/30/2020,eGaming,100
15029147,10/31/2020,eGaming,31
20037163,4/30/2021,eGaming,225
16535821,1/31/2021,eGaming,300
13477381,7/31/2020,eGaming,25
14497793,6/30/2021,eGaming,19
18053784,12/31/2020,eGaming,100
12438829,5/31/2020,eGaming,9
12564181,1/31/2021,eGaming,29
18150456,12/31/2020,SportsBook,26
15178732,1/31/2021,eGaming,50
20258468,6/30/2021,eGaming,20
12697768,5/31/2020,eGaming,40
14511160,10/31/2020,SportsBook,20
13798935,11/30/2019,SportsBook,10
16221052,7/31/2020,eGaming,30
13857033,11/30/2019,SportsBook,10
19685388,3/31/2021,eGaming,25
12497347,2/28/2019,SportsBook,40
15654387,4/30/2020,eGaming,13
18513880,1/31/2021,eGaming,120
13490916,9/30/2019,SportsBook,400
19822175,4/30/2021,SportsBook,500
12470850,6/30/2019,eGaming,20
13280867,9/30/2019,SportsBook,300
15737074,5/31/2020,eGaming,10
16354020,9/30/2020,SportsBook,5
12531601,2/28/2019,SportsBook,15
20034059,4/30/2021,eGaming,255
17317201,3/31/2021,eGaming,74
15813473,9/30/2020,eGaming,20
17051455,4/30/2021,eGaming,120
13267253,10/31/2019,SportsBook,20
15883666,5/31/2020,eGaming,40
12833598,11/30/2019,SportsBook,486
18487526,1/31/2021,SportsBook,10
12806085,4/30/2019,eGaming,10
15784700,8/31/2020,eGaming,30
13324700,9/30/2019,eGaming,100
15839724,2/28/2021,eGaming,30
13318915,11/30/2020,SportsBook,300
18396319,12/31/2020,eGaming,900
18652615,1/31/2021,eGaming,61
19583333,3/31/2021,SportsBook,40
17889394,11/30/2020,SportsBook,100
13503482,10/31/2020,eGaming,50
15910115,5/31/2020,eGaming,16
12764363,4/30/2020,eGaming,13
18902569,3/31/2021,eGaming,30
13878237,7/31/2020,eGaming,608
18383210,12/31/2020,eGaming,25
17840995,4/30/2021,SportsBook,32
13035274,3/31/2020,SportsBook,300
13833747,11/30/2019,SportsBook,800
14917158,2/29/2020,eGaming,548
14498601,11/30/2020,eGaming,30
18830371,3/31/2021,eGaming,10
18758472,2/28/2021,eGaming,209
15114907,3/31/2020,eGaming,109
13909908,5/31/2020,eGaming,30
18839799,1/31/2021,eGaming,29
15998228,5/31/2021,eGaming,12
14693049,1/31/2020,SportsBook,50
14681702,5/31/2021,eGaming,30
14697328,1/31/2020,eGaming,340
18830254,1/31/2021,eGaming,272
20346258,5/31/2021,eGaming,178
18408066,5/31/2021,eGaming,32
14954409,2/29/2020,SportsBook,500
14975252,2/29/2020,eGaming,13
13863933,2/29/2020,eGaming,21
12591324,4/30/2019,eGaming,20
17042041,2/28/2021,eGaming,193
13527953,9/30/2019,eGaming,195
14815845,1/31/2020,eGaming,10
17602670,11/30/2020,SportsBook,100
14747402,2/28/2021,eGaming,20
