src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win
13761264,6/30/2021,SportsBook,Livebook,4,33,16,17,14
14923224,3/31/2021,SportsBook,Prematch,5,154,84,71,59
16332130,3/31/2021,Lotto,Lotto,4,6,0,6,5
13070112,5/31/2019,SportsBook,Prematch,6,314,0,214,180
20615142,6/30/2021,eGaming,Non Table Games,3,9538,10486,-949,-797
13699265,10/31/2020,SportsBook,Prematch,4,75,74,1,1
14709270,1/31/2020,SportsBook,Livebook,1,10,0,10,8
13850736,11/30/2019,SportsBook,Livebook,1,6,0,6,5
18590525,3/31/2021,SportsBook,Prematch,18,2864,3682,-818,-687
15287028,3/31/2020,eGaming,Non Table Games,1,164,125,40,34
17028498,9/30/2020,SportsBook,Prematch,4,2768,1038,1730,1453
15259724,8/31/2020,eGaming,Table Games,1,0,0,0,0
16082862,6/30/2020,SportsBook,Prematch,1,20,0,20,17
12330018,1/31/2021,eGaming,Non Table Games,1,314,294,20,17
17799563,11/30/2020,eGaming,Non Table Games,1,5,2,3,3
19406516,5/31/2021,SportsBook,Prematch,12,37,10,27,23
12763794,6/30/2019,SportsBook,Livebook,3,320,282,37,31
17909624,5/31/2021,SportsBook,Prematch,6,19,0,19,16
14862928,6/30/2021,eGaming,Non Table Games,13,1377,1099,279,234
17589796,12/31/2020,SportsBook,Prematch,9,150,0,150,126
16065585,8/31/2020,eGaming,Table Games,2,139,88,51,43
14601007,12/31/2019,SportsBook,Prematch,1,5,0,5,4
14805421,1/31/2020,SportsBook,Prematch,8,1233,3022,-1789,-1503
12580044,3/31/2020,SportsBook,Prematch,4,155,118,37,31
14760555,5/31/2021,eGaming,Non Table Games,9,7735,6803,930,782
12768821,9/30/2020,eGaming,Non Table Games,1,0,0,0,0
18798801,4/30/2021,eGaming,Non Table Games,2,396,338,59,49
12681811,2/28/2021,eGaming,Non Table Games,1,39,30,10,8
