Src_Player_Id,System_First_Bet_Datetime,System_First_BetSlip_Amt,System_First_Bet_Product_Group,System_First_Bet_Product,System_First_Bet_Channel,System_First_Bet_Platform
13500973,9/19/2019 16:37,10,Sports,Live,Online,Mobile
13753875,NULL,NULL,NULL,NULL,NULL,NULL
13905687,NULL,NULL,NULL,NULL,NULL,NULL
12761139,4/1/2019 22:15,30,Sports,Live,Online,Mobile
16558163,8/3/2020 12:39,20,eGaming,Non Table Games,Online,Mobile
20342989,5/31/2021 4:00,0,eGaming,Non Table Games,Online,Mobile
19224995,2/20/2021 16:29,15,Sports,Prematch,Online,Mobile
15598494,NULL,NULL,NULL,NULL,NULL,NULL
18039359,NULL,NULL,NULL,NULL,NULL,NULL
18353732,12/13/2020 9:47,2,Lottery,Lucky Six,Online,Web
12720506,NULL,NULL,NULL,NULL,NULL,NULL
15785956,5/16/2020 10:53,0,eGaming,Non Table Games,Online,Mobile
19680358,NULL,NULL,NULL,NULL,NULL,NULL
13831973,11/5/2019 14:06,2,Sports,Prematch,Online,Mobile
20614910,NULL,NULL,NULL,NULL,NULL,NULL
19638689,3/25/2021 13:31,20,Sports,Prematch,Online,Mobile
13616228,NULL,NULL,NULL,NULL,NULL,NULL
16185309,NULL,NULL,NULL,NULL,NULL,NULL
13921682,11/17/2019 16:34,0,eGaming,Non Table Games,Online,Mobile
15887619,NULL,NULL,NULL,NULL,NULL,NULL
13822330,11/3/2019 20:10,10,Sports,Prematch,Online,Mobile
13913679,NULL,NULL,NULL,NULL,NULL,NULL
20127214,5/5/2021 9:58,4,Lottery,Lucky Six,Online,Web
12354264,1/6/2019 21:57,0,eGaming,Non Table Games,Online,Mobile
12541095,NULL,NULL,NULL,NULL,NULL,NULL
15683377,5/2/2020 18:47,1,eGaming,Non Table Games,Online,Mobile
12759455,4/1/2019 14:27,2,Sports,Prematch,Online,Mobile
13908908,NULL,NULL,NULL,NULL,NULL,NULL
14532734,NULL,NULL,NULL,NULL,NULL,NULL
12438180,NULL,NULL,NULL,NULL,NULL,NULL
14844097,3/1/2020 8:59,5,eGaming,Non Table Games,Online,Mobile
15102151,3/8/2020 14:17,1,eGaming,Non Table Games,Online,Mobile
15286104,NULL,NULL,NULL,NULL,NULL,NULL
18347981,12/12/2020 17:21,10,Sports,Live,Online,Mobile
17432879,NULL,NULL,NULL,NULL,NULL,NULL
12616579,NULL,NULL,NULL,NULL,NULL,NULL
13015811,5/9/2019 11:44,0,eGaming,Non Table Games,Online,Mobile
15795552,NULL,NULL,NULL,NULL,NULL,NULL
15495146,4/16/2020 20:49,1,eGaming,Non Table Games,Online,Mobile
15908359,NULL,NULL,NULL,NULL,NULL,NULL
14803060,2/23/2020 18:53,10,Sports,Prematch,Online,Web
17716479,11/4/2020 3:36,0,eGaming,Non Table Games,Online,Mobile
17316347,11/25/2020 21:14,10,Sports,Prematch,Online,Mobile
15688236,NULL,NULL,NULL,NULL,NULL,NULL
14540965,12/12/2019 18:22,25,Sports,Prematch,Online,Mobile
12374164,1/11/2019 21:02,40,eGaming,Non Table Games,Online,Mobile
18838315,1/24/2021 15:56,2,Sports,Prematch,Online,Mobile
14576002,12/17/2019 21:00,5,Sports,Live,Online,Mobile
14498076,12/6/2019 10:08,0,eGaming,Non Table Games,Online,Web
14917179,2/7/2020 12:18,0,eGaming,Non Table Games,Online,Web
17377945,NULL,NULL,NULL,NULL,NULL,NULL
12650795,3/10/2019 9:26,1,eGaming,Non Table Games,Online,Mobile
12822384,4/15/2019 14:38,10,Sports,Prematch,Online,Mobile
12397332,1/17/2019 14:03,1,eGaming,Non Table Games,Online,Mobile
13691659,10/15/2019 16:25,1,Sports,Live,Online,Mobile
16194294,NULL,NULL,NULL,NULL,NULL,NULL
13367687,NULL,NULL,NULL,NULL,NULL,NULL
13032339,5/25/2019 17:04,50,Sports,Prematch,Online,Web
15218023,NULL,NULL,NULL,NULL,NULL,NULL
14791584,NULL,NULL,NULL,NULL,NULL,NULL
13589118,9/26/2019 17:34,1,eGaming,Non Table Games,Online,Mobile
13763235,NULL,NULL,NULL,NULL,NULL,NULL
13931453,NULL,NULL,NULL,NULL,NULL,NULL
12778851,4/7/2019 20:52,1,eGaming,Non Table Games,Online,Mobile
16612281,8/9/2020 9:59,0,eGaming,Non Table Games,Online,Mobile
20364853,NULL,NULL,NULL,NULL,NULL,NULL
19228720,NULL,NULL,NULL,NULL,NULL,NULL
15610592,NULL,NULL,NULL,NULL,NULL,NULL
18054353,12/2/2020 18:02,1,Sports,Prematch,Online,Mobile
18361245,NULL,NULL,NULL,NULL,NULL,NULL
12741152,NULL,NULL,NULL,NULL,NULL,NULL
15788063,NULL,NULL,NULL,NULL,NULL,NULL
19709933,NULL,NULL,NULL,NULL,NULL,NULL
13843453,NULL,NULL,NULL,NULL,NULL,NULL
20617176,6/23/2021 15:46,10,Sports,Prematch,Online,Mobile
19646435,3/26/2021 10:50,1,eGaming,Non Table Games,Online,Mobile
13627122,10/4/2019 12:06,2,eGaming,Non Table Games,Online,Mobile
16185757,NULL,NULL,NULL,NULL,NULL,NULL
13923386,11/17/2019 20:54,1,eGaming,Non Table Games,Online,Mobile
15947435,6/12/2020 22:56,5,eGaming,Non Table Games,Online,Mobile
13823224,11/4/2019 19:15,100,Sports,Prematch,Online,Web
13928372,6/28/2021 13:17,0,eGaming,Non Table Games,Online,Web
20140521,NULL,NULL,NULL,NULL,NULL,NULL
12378822,1/12/2019 22:21,2,eGaming,Non Table Games,Online,Mobile
12544019,12/15/2020 10:30,2,eGaming,Non Table Games,Online,Mobile
15703417,5/4/2020 18:54,3,eGaming,Non Table Games,Online,Mobile
12759520,4/1/2019 11:58,1,eGaming,Non Table Games,Online,Mobile
13929652,11/18/2019 21:08,0,eGaming,Non Table Games,Online,Mobile
14534199,12/11/2019 19:44,20,Sports,Prematch,Online,Mobile
12451947,2/6/2019 19:49,600,Sports,Prematch,Online,Mobile
14857252,2/12/2020 17:24,20,Sports,Prematch,Online,Web
15102355,NULL,NULL,NULL,NULL,NULL,NULL
15305241,NULL,NULL,NULL,NULL,NULL,NULL
18385040,NULL,NULL,NULL,NULL,NULL,NULL
17445352,1/26/2021 15:10,8,eGaming,Table Games,Online,Mobile
12635455,NULL,NULL,NULL,NULL,NULL,NULL
