Src_Player_Id,Signup_Date,acquisition_channel,src_advertiser_id,Gender,Date_Of_Birth,Internal_Player_YN
12587820,2/24/2019 10:15,NA,999999,M ,7/10/1989 0:00,N 
13016724,5/8/2019 13:51,NA,999999,M ,4/6/1996 0:00,N 
18561928,12/28/2020 22:32,NA,999999,M ,6/15/1997 0:00,N 
12581715,2/22/2019 22:53,NA,999999,M ,3/16/1998 0:00,N 
12543757,2/15/2019 16:04,NA,999999,M ,3/12/1987 0:00,N 
13096004,5/29/2019 19:38,NA,999999,M ,5/19/1998 0:00,N 
12623211,3/3/2019 21:15,NA,999999,M ,2/6/2001 0:00,N 
18904353,1/26/2021 20:33,NA,999999,M ,2/25/1999 0:00,N 
13071174,5/22/2019 17:44,NA,999999,M ,4/24/1983 0:00,N 
12546445,2/16/2019 3:25,NA,999999,M ,1/17/1989 0:00,N 
19085551,2/10/2021 21:48,NA,999999,M ,2/23/1998 0:00,N 
20207593,5/13/2021 16:08,NA,999999,M ,5/22/1990 0:00,N 
19290493,2/25/2021 12:34,NA,999999,M ,9/20/1999 0:00,N 
20788835,7/9/2021 9:48,NA,999999,M ,12/12/2001 0:00,N 
19227264,2/20/2021 16:55,NA,999999,M ,7/25/1987 0:00,N 
20166456,5/9/2021 6:17,NA,999999,M ,7/24/1988 0:00,N 
18617121,1/2/2021 13:18,NA,999999,M ,2/8/1989 0:00,N 
19074868,2/10/2021 1:43,NA,999999,M ,7/19/1977 0:00,N 
20812081,7/11/2021 17:25,NA,999999,M ,6/7/2003 0:00,N 
19428893,3/8/2021 13:26,NA,999999,M ,3/24/2000 0:00,N 
18925876,1/28/2021 18:32,NA,999999,M ,6/30/2002 0:00,N 
19371751,3/3/2021 23:20,NA,999999,M ,7/27/2001 0:00,N 
20347980,5/27/2021 15:56,NA,999999,M ,5/25/2002 0:00,N 
19209783,2/19/2021 14:35,NA,999999,M ,12/26/1984 0:00,N 
19698924,3/30/2021 17:14,NA,999999,M ,4/25/1988 0:00,N 
12504990,2/11/2019 7:54,NA,999999,M ,3/30/1981 0:00,N 
18561987,12/28/2020 22:38,NA,999999,M ,5/10/1995 0:00,N 
20323670,5/25/2021 10:45,NA,999999,M ,8/11/1981 0:00,N 
19033184,2/6/2021 19:14,NA,999999,M ,11/19/1990 0:00,N 
19053201,2/8/2021 11:47,NA,999999,M ,11/20/2002 0:00,N 
20818604,7/12/2021 10:16,NA,999999,M ,1/2/2002 0:00,N 
19906710,4/15/2021 5:45,NA,999999,M ,10/11/1990 0:00,N 
